"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2021 г.)"
"Subject","Point FPSR","Name of the statistical factor","Importance of the statistical factor"
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.105 УК РФ (Убийство)",1486
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)",3230
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.131 УК РФ (Изнасилование)",584
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.158 УК РФ (Кража)",172423
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.161 УК РФ (Грабёж)",7730
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.162 УК РФ (Разбой)",1104
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.163 УК РФ (Вымогательство)",1260
"Центральный фед.округ","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.213 УК РФ (Хулиганство) ",545
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.105 УК РФ (Убийство)",1165
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)",3042
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.131 УК РФ (Изнасилование)",586
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.158 УК РФ (Кража)",59646
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.161 УК РФ (Грабёж)",1176
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.162 УК РФ (Разбой)",373
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.163 УК РФ (Вымогательство)",4
"Центральный фед.округ","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.213 УК РФ (Хулиганство)",274
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.105 УК РФ (Убийство)",51
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)",125
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.131 УК РФ (Изнасилование)",26
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.158 УК РФ (Кража)",4734
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.161 УК РФ (Грабёж)",166
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.162 УК РФ (Разбой)",22
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.163 УК РФ (Вымогательство)",77
"Белгородская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.213 УК РФ (Хулиганство) ",1
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.105 УК РФ (Убийство)",50
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)",102
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.131 УК РФ (Изнасилование)",19
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.158 УК РФ (Кража)",2260
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.161 УК РФ (Грабёж)",24
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.162 УК РФ (Разбой)",6
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.163 УК РФ (Вымогательство)",0
"Белгородская область","3_3","Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.213 УК РФ (Хулиганство)",0
"Брянская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.105 УК РФ (Убийство)",49
"Брянская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)",100
"Брянская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.131 УК РФ (Изнасилование)",8
"Брянская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.158 УК РФ (Кража)",3956
"Брянская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.161 УК РФ (Грабёж)",215
"Брянская область","3_3","Количество преступлений, зарегистрированных в отчетном периоде по ст.162 УК РФ (Разбой)",30
