subject,point_FPSR,name_of_the_statistical_factor,importance_of_the_statistical_factor
Центральный фед.округ,3_10,Количество потерпевших,177125
Центральный фед.округ,3_10,"Количество потерпевших, в том числе юридических лиц",38120
Центральный фед.округ,3_10,"Количество потерпевших, в том числе физических лиц",139005
Центральный фед.округ,3_10,"Количество потерпевших, в том числе погибших",2312
Центральный фед.округ,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",3254
Центральный фед.округ,3_10,"Количество потерпевших, в том числе несовершеннолетних",11248
Центральный фед.округ,3_10,"Количество потерпевших, в том числе женщин",66747
Белгородская область,3_10,Количество потерпевших,5494
Белгородская область,3_10,"Количество потерпевших, в том числе юридических лиц",1174
Белгородская область,3_10,"Количество потерпевших, в том числе физических лиц",4320
Белгородская область,3_10,"Количество потерпевших, в том числе погибших",89
Белгородская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",135
Белгородская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",413
Белгородская область,3_10,"Количество потерпевших, в том числе женщин",1961
Брянская область,3_10,Количество потерпевших,5679
Брянская область,3_10,"Количество потерпевших, в том числе юридических лиц",1376
Брянская область,3_10,"Количество потерпевших, в том числе физических лиц",4303
Брянская область,3_10,"Количество потерпевших, в том числе погибших",94
Брянская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",102
Брянская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",610
Брянская область,3_10,"Количество потерпевших, в том числе женщин",2057
Владимирская область,3_10,Количество потерпевших,6260
Владимирская область,3_10,"Количество потерпевших, в том числе юридических лиц",1457
Владимирская область,3_10,"Количество потерпевших, в том числе физических лиц",4803
Владимирская область,3_10,"Количество потерпевших, в том числе погибших",134
Владимирская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",179
Владимирская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",532
Владимирская область,3_10,"Количество потерпевших, в том числе женщин",2348
Воронежская область,3_10,Количество потерпевших,13391
Воронежская область,3_10,"Количество потерпевших, в том числе юридических лиц",2904
Воронежская область,3_10,"Количество потерпевших, в том числе физических лиц",10487
Воронежская область,3_10,"Количество потерпевших, в том числе погибших",145
Воронежская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",230
Воронежская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",787
Воронежская область,3_10,"Количество потерпевших, в том числе женщин",4953
Ивановская область,3_10,Количество потерпевших,4631
Ивановская область,3_10,"Количество потерпевших, в том числе юридических лиц",930
Ивановская область,3_10,"Количество потерпевших, в том числе физических лиц",3701
Ивановская область,3_10,"Количество потерпевших, в том числе погибших",79
Ивановская область,3_10,"Количество потерпевших, в том числе которым причинен тяжкий вред здоровью",131
Ивановская область,3_10,"Количество потерпевших, в том числе несовершеннолетних",484
Ивановская область,3_10,"Количество потерпевших, в том числе женщин",1854
Калужская область,3_10,Количество потерпевших,5710
